time,o_open,o_high,o_low,o_close,o_volume
2024-05-23 07:00:00,69566.9,69860.0,69460.4,69729.4,313164.0
2024-05-23 08:00:00,69729.4,69848.9,69563.0,69685.6,272540.0
2024-05-23 09:00:00,69685.7,69833.0,69559.1,69626.8,249903.0
2024-05-23 10:00:00,69626.8,69786.5,69504.2,69526.7,122373.0
2024-05-23 11:00:00,69527.8,70051.3,69527.8,69955.7,265754.0
2024-05-23 12:00:00,69952.6,70111.0,69022.0,69451.2,677371.0
2024-05-23 13:00:00,69449.1,69573.4,67724.1,68049.5,1187311.0
2024-05-23 14:00:00,68049.0,68357.9,67601.0,67765.8,866736.0
2024-05-23 15:00:00,67765.8,68323.9,67719.2,68089.5,348787.0
2024-05-23 16:00:00,68090.1,68183.4,67807.2,67839.6,218868.0
2024-05-23 17:00:00,67839.7,68127.0,67637.6,67656.2,183120.0
2024-05-23 18:00:00,67655.1,67703.1,66745.3,67393.2,1041596.0
2024-05-23 19:00:00,67409.5,67726.2,67135.7,67222.2,437243.0
2024-05-23 20:00:00,67222.4,67949.4,66320.6,67808.5,1310938.0
2024-05-23 21:00:00,67808.5,68388.9,67122.1,67990.6,1006030.0
2024-05-23 22:00:00,67996.2,68007.7,67563.5,67677.5,205220.0
2024-05-23 23:00:00,67699.1,67990.8,67493.5,67976.5,125310.0
2024-05-24 00:00:00,67969.5,68007.9,67640.8,67848.7,122077.0
2024-05-24 01:00:00,67848.7,67848.7,67657.8,67731.7,39481.0
2024-05-24 02:00:00,67731.6,67999.8,67632.3,67971.4,119796.0
2024-05-24 03:00:00,67979.6,68016.0,67804.6,67879.1,112017.0
2024-05-24 04:00:00,67881.2,67929.7,67665.8,67716.4,79788.0
2024-05-24 05:00:00,67718.6,67718.6,67066.1,67297.2,373934.0
2024-05-24 06:00:00,67297.1,67587.0,66831.9,66904.0,299748.0
2024-05-24 07:00:00,66894.9,67326.9,66830.0,67163.7,214995.0
2024-05-24 08:00:00,67163.6,67217.4,66617.3,67182.5,158952.0
2024-05-24 09:00:00,67182.6,67444.9,67029.8,67365.9,147608.0
2024-05-24 10:00:00,67366.0,67523.3,67309.1,67349.6,117252.0
2024-05-24 11:00:00,67350.7,67470.0,67279.0,67351.1,59876.0
2024-05-24 12:00:00,67351.1,67586.2,67346.1,67506.6,174027.0
2024-05-24 13:00:00,67506.6,67621.9,66945.4,67092.9,244845.0
2024-05-24 14:00:00,67092.9,68053.8,67000.7,67868.0,377375.0
2024-05-24 15:00:00,67868.0,68433.9,67868.0,68319.5,444991.0
2024-05-24 16:00:00,68320.5,68468.1,67925.2,68374.8,235361.0
2024-05-24 17:00:00,68374.9,68919.4,68374.8,68899.9,364377.0
2024-05-24 18:00:00,68899.9,69204.3,68823.3,68960.0,455353.0
2024-05-24 19:00:00,68950.3,69234.9,68744.5,69110.0,225918.0
2024-05-24 20:00:00,69102.8,69200.0,68833.1,68833.1,144211.0
2024-05-24 21:00:00,68833.1,68994.2,68782.3,68872.0,129762.0
2024-05-24 22:00:00,68875.8,68875.8,68667.6,68785.5,97722.0
2024-05-24 23:00:00,68785.4,68785.4,68524.0,68559.0,99315.0
2024-05-25 00:00:00,68559.0,68674.4,68501.2,68524.4,76365.0
2024-05-25 01:00:00,68527.0,68712.5,68527.0,68605.8,76672.0
2024-05-25 02:00:00,68605.7,68824.1,68595.5,68815.5,60389.0
2024-05-25 03:00:00,68815.5,68914.0,68648.8,68753.8,81623.0
2024-05-25 04:00:00,68750.5,68828.3,68682.3,68782.3,68816.0
2024-05-25 05:00:00,68782.3,68816.3,68699.9,68721.3,42302.0
2024-05-25 06:00:00,68722.4,68744.9,68611.0,68661.1,59073.0
2024-05-25 07:00:00,68661.1,68815.0,68634.3,68752.6,69937.0
2024-05-25 08:00:00,68752.5,69077.0,68751.7,68884.7,95383.0
2024-05-25 09:00:00,68884.7,69157.9,68856.7,69085.7,95685.0
2024-05-25 10:00:00,69092.9,69482.3,69023.0,69386.7,176630.0
2024-05-25 11:00:00,69388.8,69631.9,69104.7,69104.8,229369.0
2024-05-25 12:00:00,69104.8,69292.0,69026.7,69120.9,166833.0
2024-05-25 13:00:00,69119.9,69238.4,68869.0,69030.2,198872.0
2024-05-25 14:00:00,69030.3,69090.1,68951.9,69040.0,98887.0
